,Compound,Date,Negative,Neutral,Positive,Tweets ago,tweet_text,twitter source account
170,-0.5106,Tue Oct 02 21:05:00 +0000 2018,0.155,0.845,0.0,171,"Clumsy at it was, Donald Trump’s failed attempt to change his father’s will brought a family reckoning about 2 rela… https://t.co/6QVLMrT9YD",@nytimes
169,0.3818,Tue Oct 02 21:10:30 +0000 2018,0.0,0.89,0.11,170,"On Nov. 22, 1997, in an episode never before revealed, Donald Trump and his siblings gained ownership of most of th… https://t.co/TREtTJ6pHD",@nytimes
168,0.0,Tue Oct 02 21:20:11 +0000 2018,0.0,1.0,0.0,169,"On May 4, 2004, the Trump children signed away ownership of the empire their father had built over 70 years. The to… https://t.co/H1DbE6cZ2I",@nytimes
167,0.0,Tue Oct 02 21:23:11 +0000 2018,0.0,1.0,0.0,168,The New York Times’s findings raise new questions about President Trump’s refusal to release his income tax returns… https://t.co/2QJGxo0Tzm,@nytimes
166,0.0,Tue Oct 02 21:48:24 +0000 2018,0.0,1.0,0.0,167,"As for the $1 million loan President Trump so often cites, The New York Times found that Fred Trump actually lent h… https://t.co/LtGDEXO17S",@nytimes
165,0.4404,Tue Oct 02 22:03:04 +0000 2018,0.0,0.879,0.121,166,"RT @Nate_Cohn: Ohio 1, final. Chabot (R, inc) 50, Pureval (D) 41
A good result for the Republicans in a fairly conservative district where…",@nytimes
164,0.4588,Tue Oct 02 22:17:04 +0000 2018,0.0,0.85,0.15,165,2 of America Ferrera's recent favorite books: “When They Call You a Terrorist” by Patrisse Khan-Cullors and “Sour H… https://t.co/LredAGHHbD,@nytimes
163,-0.2263,Tue Oct 02 22:32:07 +0000 2018,0.091,0.909,0.0,164,The Manchin campaign said that he spoke with protesters “to listen to their stories and views on Brett Kavanaugh.”… https://t.co/E80CtfKrRT,@nytimes
162,-0.7351,Tue Oct 02 22:47:11 +0000 2018,0.285,0.658,0.057,163,"""Baby fails"" is a thriving YouTube genre. And if you want your own internet-famous baby, humiliation is key.… https://t.co/fHU9SDps0a",@nytimes
161,0.0,Tue Oct 02 23:00:00 +0000 2018,0.0,1.0,0.0,162,Clarification: The tweet above said McKinsey determines which creditors get paid what. McKinsey does have a say but it's not the only one.,@nytimes
160,0.0,Tue Oct 02 23:01:04 +0000 2018,0.0,1.0,0.0,161,"RT @susannecraig: NEW: Russ Buettner, David Barstow and I got our hands on a massive trove of confidential docs - including 200 tax returns…",@nytimes
159,-0.8625,Tue Oct 02 23:17:05 +0000 2018,0.469,0.531,0.0,160,The killing of a 16-year-old stunned a Brooklyn neighborhood. The shock deepened when a suspect was identified: a b… https://t.co/M2GmkVMLeS,@nytimes
158,0.128,Tue Oct 02 23:22:02 +0000 2018,0.0,0.927,0.073,159,"RT @davidenrich: Exclusive: We obtained a handwritten 1983 letter that Brett Kavanaugh wrote to his high school buddies: ""We're loud, obnox…",@nytimes
157,0.0,Tue Oct 02 23:32:06 +0000 2018,0.0,1.0,0.0,158,Evening Briefing: Here's what you need to know at the end of the day https://t.co/01D9Wjf5g0,@nytimes
156,0.4404,Tue Oct 02 23:42:02 +0000 2018,0.0,0.818,0.182,157,This chicken tikka masala recipe is truly accessible to anyone with a well-stocked pantry https://t.co/D5sb5MOXc2,@nytimes
155,0.0,Tue Oct 02 23:52:03 +0000 2018,0.0,1.0,0.0,156,"RT @gabrieldance: we’ve spent 18 months investigating the Trump fortune. But if you don’t have that kinda time right now, here’s 4 short, i…",@nytimes
154,0.4215,Wed Oct 03 00:02:04 +0000 2018,0.0,0.847,0.153,155,"""If you are not disrupting the people in positions of authority, it is like you are not doing your job"": Jemele Hil… https://t.co/GLzVptK6xb",@nytimes
153,-0.3182,Wed Oct 03 00:11:05 +0000 2018,0.091,0.909,0.0,154,"RT @tackettdc: On Monday night, the two major candidates for governor in Ohio, a critical swing state, met to debate. Two New York Times po…",@nytimes
152,-0.4939,Wed Oct 03 00:17:02 +0000 2018,0.138,0.862,0.0,153,Bomb experts entered a home in Oregon only to discover the place was full of booby traps including an exploding whe… https://t.co/FncTuZyso6,@nytimes
151,0.0,Wed Oct 03 00:25:07 +0000 2018,0.0,1.0,0.0,152,RT @russbuettner: His father’s fortune: the untruth at the core of President Trump’s case for his own exceptionalism. https://t.co/4n207maW…,@nytimes
150,-0.743,Wed Oct 03 00:32:05 +0000 2018,0.259,0.741,0.0,151,A Dunkin’ Donuts employee dumped water on a homeless man who was charging his phone. He and others were fired after… https://t.co/q62zSQsanT,@nytimes
149,-0.3818,Wed Oct 03 00:40:08 +0000 2018,0.12,0.88,0.0,150,From our On Politics newsletter: The battle over Judge Kavanaugh is perhaps our starkest reflection of that new pol… https://t.co/yT6ihE9xDD,@nytimes
148,0.0,Wed Oct 03 00:47:00 +0000 2018,0.0,1.0,0.0,149,Get our On Politics newsletter delivered to your inbox. Sign up here: https://t.co/z8lYREKk4h,@nytimes
147,0.4019,Wed Oct 03 00:51:01 +0000 2018,0.055,0.824,0.122,148,"RT @katekelly: In 1983, Judge #Kavanaugh penned a letter to seven friends about the arrangements for Beach Week. He said they should warn t…",@nytimes
146,0.0,Wed Oct 03 01:00:01 +0000 2018,0.0,1.0,0.0,147,Clarification: The tweet above said McKinsey determines which creditors get paid what. McKinsey does have a say but it's not the only one.,@nytimes
145,0.0,Wed Oct 03 01:02:04 +0000 2018,0.0,1.0,0.0,146,Evening Briefing: Here's what you need to know at the end of the day https://t.co/dlOqHxLvY2,@nytimes
144,-0.807,Wed Oct 03 01:17:06 +0000 2018,0.277,0.723,0.0,145,"RT @nytvideo: “It’s a very scary time for young men,” President Trump said in reference to the investigation into sexual assault accusation…",@nytimes
143,-0.8717,Wed Oct 03 01:28:05 +0000 2018,0.342,0.658,0.0,144,"He spent 2 decades in prison for a murder he has long maintained he did not commit. ""They robbed me of a career, a… https://t.co/9RGJpYuxWN",@nytimes
142,0.0,Wed Oct 03 01:39:03 +0000 2018,0.0,1.0,0.0,143,RT @susannecraig: It’s mind boggling to me how much we learned about Donald Trump and his tax shenanigans through the documents we got. It…,@nytimes
141,0.0,Wed Oct 03 01:47:02 +0000 2018,0.0,1.0,0.0,142,Brett Kavanaugh’s 1983 letter offers inside look at high school clique https://t.co/e1lp56OMX0,@nytimes
