,Compound,Date,Negative,Neutral,Positive,Tweets ago,tweet_text,twitter source account
170,-0.296,Sat Sep 22 19:04:06 +0000 2018,0.121,0.879,0.0,171,"Seeking a missing man, detective Jay Swan finds an outback community fractured by secrets. 

#MysteryRoad | 9pm |… https://t.co/7ogs71Algw",@BBC
169,0.0,Sun Sep 23 07:03:01 +0000 2018,0.0,1.0,0.0,170,"It's been just over a year since @Harry_Styles made his Live Lounge debut. 💕

His cover of Fleetwood Mac's 'The Cha… https://t.co/ZtNRkwd9bs",@BBC
168,0.0,Sun Sep 23 07:31:05 +0000 2018,0.0,1.0,0.0,169,"A giant 300m-long spiderweb has appeared in Greece. The phenomenon is caused by Tetragnatha spiders, which can buil… https://t.co/WReys8HSJV",@BBC
167,0.5023,Sun Sep 23 08:03:04 +0000 2018,0.0,0.885,0.115,168,"A lot has changed in 20 years, but do you remember what life was like in 1998? 🤔

Take the twenty years of change c… https://t.co/AP2Lr1Jeq1",@BBC
166,0.4019,Sun Sep 23 09:03:05 +0000 2018,0.0,0.863,0.137,167,"*Googles how to become a special effects artist...*

😲🎬 Meet the team behind every gripping action sequence in… https://t.co/sTE4R5sVJE",@BBC
165,-0.5256,Sun Sep 23 10:04:02 +0000 2018,0.253,0.747,0.0,166,"What's the most dangerous job in the world? #QI 🔥✂️😬

https://t.co/hQ7vwFLc1A",@BBC
164,0.0,Sun Sep 23 11:02:02 +0000 2018,0.0,1.0,0.0,165,"Meet Ross. He's swimming the entire coast of Britain and has faced wetsuit burns, ""salt tongue"" and jellyfish. 😬🌊

https://t.co/pj8THPs7g8",@BBC
163,0.0,Sun Sep 23 12:44:40 +0000 2018,0.0,1.0,0.0,164,"RT @BBCOne: The #Bodyguard finale is 75 minutes long. 
So here’s 75 reasons why we ❤️ this show. 

See you at 9pm for the epic conclusion.…",@BBC
162,0.3716,Sun Sep 23 14:02:06 +0000 2018,0.066,0.761,0.173,163,"Low on cash but still want to whip up a mouthwatering meal? 🍝🥘🍛

Raid the store cupboard to create these delicious… https://t.co/eMfg1xSQEo",@BBC
161,0.8058,Sun Sep 23 15:03:04 +0000 2018,0.0,0.553,0.447,162,"Sea dragons are so elegant 😍 #Oceans

https://t.co/yulAjV8D0S",@BBC
160,0.3818,Sun Sep 23 16:04:03 +0000 2018,0.0,0.755,0.245,161,"'We're in love but never have sex'. 

https://t.co/IOgVh8eiFC https://t.co/dCLDcKhQ0Y",@BBC
159,0.5267,Sun Sep 23 17:02:01 +0000 2018,0.071,0.708,0.221,160,"Falling leaves, dramatic skies, misty mornings... 🍂🌰🦊

7 signs that autumn is well and truly on its way. 👉… https://t.co/iNXWoE3zcW",@BBC
158,0.0,Sun Sep 23 18:02:04 +0000 2018,0.0,1.0,0.0,159,"🤔📆 Quiz: Can you guess which celebrity is the oldest? 

https://t.co/EVdI3SRIxf https://t.co/7hc2mzrx3B",@BBC
157,0.4939,Sun Sep 23 19:04:06 +0000 2018,0.071,0.714,0.214,158,"Get ready to learn the truth.

Don’t miss the epic finale of #Bodyguard. Tonight at 9pm on @BBCOne.

https://t.co/WBN1aXFHDl",@BBC
